Tg_male_veh,Tg_female_veh,Tg_male_PEA,Tg_female_PEA
16.82751,5.525121,9.784598,9.802463
18.61343,12.8994,14.17367,7.084915
16.09754,7.888384,13.91808,5.540532
19.73782,7.801307,15.2806,9.428954
21.99861,9.897091,13.48214,5.090153
21.01076,8.343124,15.22736,6.795833
19.11688,15.76811,10.98096,10.31405
