Tg_male_veh,Tg_female_veh,Tg_male_PEA,Tg_female_PEA
2.03322e-4,1.63852e-4,2.47379e-4,9.36615e-5
4.73636e-5,1.34353e-4,3.11109e-6,1.13211e-4
8.41652e-5,1.25033e-4,2.52682e-5,7.60335e-5
6.67276e-6,9.44098e-5,9.62846e-6,1.26712e-4
4.06837e-6,NA,7.29785e-5,NA
