Tg_male_veh,Tg_female_veh,Tg_male_PEA,Tg_female_PEA
0.02309717,0.05788494,0.03781938,0.07182079
0.0684604,0.17072747,0.05733803,0.06549518
0.06055054,0.12950235,0.15697115,0.03592362
0.06396698,0.06629334,0.10754259,0.08382325
0.10589518,NA,0.11560156,NA
